"carat","cut","color","clarity","depth","table","price","x","y","z"
0.33,"Ideal","E","VS2",62.6,57,723,4.37,4.42,2.75
1.5,"Fair","H","I1",65.7,58,4939,7.07,7.02,4.63
1.01,"Ideal","G","SI1",61.5,56,4129,6.52,6.46,3.99
0.29,"Ideal","F","SI2",60.6,59,496,4.31,4.37,2.63
0.57,"Ideal","E","VS2",61.8,56,1949,5.33,5.29,3.28
1.21,"Ideal","F","VS1",62.2,54.9,8629,6.79,6.84,4.24
0.43,"Ideal","I","VVS1",61.1,57,916,4.86,4.9,2.98
0.72,"Ideal","F","VS1",61.4,56,3759,5.75,5.79,3.54
1.54,"Premium","I","SI1",60.8,61,8969,7.48,7.41,4.53
1.21,"Premium","H","SI1",62.5,58,5948,6.75,6.72,4.21
0.54,"Ideal","H","VS1",61.2,55,1454,5.25,5.31,3.23
1.71,"Premium","H","SI1",62.8,58,12338,7.62,7.53,4.76
0.5,"Premium","F","VS2",60.6,59,1433,5.13,5.03,3.08
0.41,"Ideal","F","IF",62.3,55,1439,4.78,4.82,2.99
0.42,"Ideal","D","VS1",62.3,57,1350,4.8,4.76,2.98
2.02,"Very Good","J","SI2",59.2,60,11757,8.27,8.39,4.91
0.42,"Very Good","F","VVS1",63,59,1154,4.75,4.81,3.01
0.3,"Premium","E","VS2",62,59,844,4.31,4.27,2.66
0.28,"Very Good","G","SI1",62,55,382,4.2,4.25,2.62
0.23,"Very Good","E","VS1",59.5,58,402,4.01,4.06,2.4
2.08,"Premium","H","SI2",58.8,60,14462,8.39,8.35,4.92
1.36,"Premium","H","SI2",60.1,56,5103,7.23,7.18,4.38
1.53,"Premium","G","SI2",61.3,59,8799,7.49,7.43,4.57
0.44,"Ideal","G","SI1",61.1,56,813,4.92,4.94,3.01
1.01,"Ideal","D","VS2",62.7,57,7792,6.39,6.36,4
0.71,"Premium","D","VVS1",58.8,58,3952,5.89,5.81,3.44
1.01,"Premium","E","SI1",62.4,59,5430,6.38,6.35,3.97
0.42,"Premium","G","VS1",60.8,59,921,4.79,4.85,2.93
2,"Good","D","SI2",63.8,57,10528,7.93,7.88,5.04
0.51,"Ideal","I","VVS2",62.5,54.3,1316,5.09,5.12,3.19
0.91,"Fair","D","SI1",64.4,60,3855,6.08,6.04,3.9
2,"Premium","F","SI2",61.5,59,11413,8.03,7.95,4.92
0.71,"Good","E","SI1",63.8,54,2606,5.66,5.72,3.63
0.62,"Premium","G","VS1",59.8,58,1933,5.55,5.58,3.33
0.7,"Premium","I","SI2",62.4,58,1890,5.68,5.64,3.53
1.28,"Premium","H","SI2",62.4,56,4588,6.97,6.89,4.34
0.59,"Ideal","D","IF",60.7,58,4161,5.45,5.49,3.32
0.31,"Ideal","G","IF",62.2,55,891,4.35,4.4,2.72
1.04,"Very Good","F","VS1",63.2,57,7534,6.44,6.41,4.06
0.38,"Premium","H","VS2",60.6,58,898,4.7,4.68,2.84
1.01,"Very Good","G","VS1",63.6,57,6905,6.3,6.35,4.02
1.2,"Premium","J","SI1",60,61,4717,6.89,6.84,4.12
0.4,"Ideal","D","VVS1",62.8,57,1279,4.65,4.68,2.93
1.08,"Premium","I","SI2",60.1,59,3750,6.75,6.69,4.04
2.02,"Premium","J","VS2",62,59,13687,8.06,8.08,5
2.02,"Ideal","G","SI2",62,55,18296,8.16,8.1,5.04
0.35,"Good","E","SI2",64,55,454,4.45,4.49,2.86
1,"Premium","H","IF",60.6,57,7235,6.54,6.47,3.94
1.7,"Premium","E","SI1",61.8,58,15804,7.62,7.52,4.68
0.71,"Ideal","H","SI1",62,57,2368,5.73,5.76,3.56
1.01,"Very Good","D","IF",63.4,59,15219,6.39,6.26,4.01
0.56,"Premium","E","VS2",61.4,61,1915,5.31,5.28,3.25
0.5,"Very Good","E","VVS2",61.7,61,2083,5.09,5.12,3.15
0.34,"Ideal","D","SI1",61.3,57,803,4.5,4.44,2.74
1,"Premium","E","VVS1",60.3,54,10134,6.59,6.47,3.94
0.9,"Good","E","VS2",64.2,59,4315,6.02,6.1,3.89
0.58,"Ideal","F","VS1",60.4,57,2245,5.42,5.37,3.26
1.09,"Ideal","G","VS2",62.3,57,6480,6.6,6.57,4.1
1.01,"Premium","I","SI2",61.5,62,3360,6.41,6.37,3.93
0.74,"Good","H","VS2",63,57,2327,5.72,5.77,3.62
0.31,"Ideal","G","VVS1",59.5,56,1046,4.43,4.41,2.63
1.21,"Good","J","SI2",63.7,55,4269,6.81,6.75,4.32
0.41,"Good","F","SI1",63.4,57,705,4.73,4.74,3
0.71,"Very Good","G","SI1",63.4,56,2364,5.64,5.68,3.59
0.34,"Premium","G","VS2",61.2,62,765,4.48,4.44,2.73
1.23,"Ideal","D","VS2",62.3,57,9836,6.86,6.82,4.26
0.3,"Very Good","G","VVS2",63.2,57,878,4.27,4.24,2.69
1.01,"Premium","G","VS1",61.7,56,6882,6.53,6.46,4.01
1.04,"Ideal","G","VS2",61.6,55,6617,6.51,6.55,4.02
1,"Fair","D","SI1",67.3,57,5096,6.15,6.04,4.1
1.2,"Very Good","F","VS2",61.1,59,8436,6.81,6.87,4.18
0.24,"Ideal","F","VVS2",60.7,56,552,3.98,4.03,2.43
0.9,"Premium","E","SI1",59.8,55,4385,6.34,6.3,3.78
1.01,"Premium","J","VS2",61,61,3722,6.28,6.22,3.81
0.9,"Premium","H","VS2",61.7,59,4266,6.13,6.19,3.8
0.39,"Ideal","F","VS2",62.3,55,971,4.69,4.71,2.93
0.35,"Premium","D","SI1",60.9,58,827,4.55,4.52,2.76
0.52,"Premium","D","VS2",60.6,56,1919,5.25,5.22,3.17
0.36,"Premium","G","VS1",61.7,59,932,4.59,4.55,2.82
0.42,"Premium","G","VS2",59.5,59,1087,4.89,4.83,2.89
0.41,"Fair","H","SI1",65.4,61,659,4.51,4.63,2.99
0.41,"Very Good","E","SI1",60.5,63,904,4.81,4.77,2.9
0.55,"Ideal","D","SI1",62.1,56,1571,5.21,5.25,3.25
0.5,"Very Good","F","SI1",61.4,57,1295,5.08,5.12,3.13
0.56,"Ideal","F","VVS2",61.3,57,2554,5.31,5.35,3.26
1.51,"Premium","F","SI1",62.8,59,11666,7.31,7.28,4.58
0.9,"Ideal","G","VVS1",61.5,56,6680,6.22,6.24,3.83
0.32,"Good","G","VS1",57,62,628,4.51,4.54,2.58
0.71,"Premium","G","VVS2",62.1,57,2832,5.75,5.65,3.54
0.9,"Very Good","H","VS1",63.6,55,4685,6.15,6.11,3.9
0.51,"Good","E","VS2",63.8,55,1662,5.08,5.05,3.23
1.3,"Good","J","SI1",64,58,5242,6.91,6.84,4.4
1.24,"Ideal","J","VS2",61.8,58,5361,6.88,6.84,4.24
0.64,"Very Good","E","VVS2",61.8,59,3541,5.51,5.53,3.41
1.18,"Premium","G","SI1",62.1,59,5458,6.75,6.71,4.18
0.4,"Ideal","E","SI1",62.2,54,1074,4.76,4.72,2.95
0.52,"Ideal","G","VS1",62.7,57,1689,5.12,5.15,3.22
2,"Very Good","F","SI1",63.6,58,16580,7.91,7.98,5.05
1.06,"Premium","F","VVS2",61.8,58,9082,6.54,6.5,4.03
1.01,"Very Good","E","SI1",64.1,56,5479,6.29,6.35,4.05
0.72,"Premium","E","IF",61.3,60,3951,5.74,5.71,3.51
1.53,"Ideal","I","VS2",62.3,57,9189,7.3,7.35,4.56
0.25,"Premium","E","VVS2",62.5,59,740,4.05,4.02,2.52
0.77,"Very Good","E","SI2",59.9,61,2753,5.98,6.01,3.59
1.59,"Ideal","H","VS1",61.8,57,12047,7.42,7.49,4.61
0.34,"Ideal","G","VS2",61.1,55,596,4.52,4.55,2.77
2.02,"Ideal","H","SI1",62.4,58,17141,8.07,8.03,5.02
0.3,"Ideal","E","VS2",61.4,56,621,4.33,4.36,2.67
0.29,"Very Good","G","VS2",62.5,56,471,4.21,4.24,2.64
1.52,"Ideal","J","VS1",62.3,58,8608,7.32,7.35,4.57
1.18,"Premium","G","VVS2",61,58,7881,6.79,6.84,4.16
0.43,"Very Good","F","SI2",60.5,59,679,4.88,4.91,2.96
0.5,"Very Good","E","SI2",59.9,57,1097,5.12,5.16,3.08
1.06,"Premium","G","SI1",61.5,59,5113,6.57,6.53,4.03
1.21,"Ideal","G","VVS1",60.2,57,10232,7.02,6.94,4.2
1.06,"Very Good","H","VS2",62.5,57,5783,6.47,6.49,4.05
0.3,"Ideal","E","VS2",62.3,56,844,4.34,4.3,2.69
1.06,"Ideal","D","SI2",61.2,57,4682,6.59,6.51,4.01
0.6,"Premium","E","SI1",59.4,60,1771,5.57,5.51,3.29
0.51,"Premium","H","SI1",60.6,59,1116,5.17,5.13,3.12
0.43,"Premium","D","SI2",60.7,58,919,4.91,4.85,2.96
0.4,"Very Good","G","VS1",61.8,58,822,4.69,4.72,2.91
0.32,"Very Good","I","SI1",59.9,61,421,4.44,4.47,2.67
0.34,"Premium","H","VVS1",61.2,58,672,4.48,4.51,2.75
0.56,"Ideal","G","VS1",60.6,56,1819,5.33,5.36,3.24
0.32,"Very Good","I","VS2",63,57,449,4.33,4.37,2.74
0.5,"Ideal","F","VS2",62.9,55,1654,5.1,5.07,3.2
1.22,"Premium","G","SI1",63,57,6695,6.84,6.74,4.28
0.3,"Premium","E","VVS2",60.8,60,1013,4.31,4.27,2.61
1.09,"Very Good","E","SI1",62.8,56,5771,6.53,6.6,4.12
0.3,"Ideal","F","VS2",62.8,56,776,4.31,4.29,2.7
1.62,"Premium","F","VS2",61.1,60,14961,7.57,7.56,4.62
0.84,"Fair","G","VS1",55.6,64,2724,6.42,6.32,3.54
0.37,"Very Good","E","VS2",64,55,728,4.52,4.57,2.91
0.6,"Ideal","G","VS1",62.2,55,2061,5.41,5.45,3.38
0.58,"Very Good","H","VVS1",63.3,55,1979,5.27,5.31,3.35
1.01,"Ideal","F","SI1",61.7,56,5932,6.45,6.48,3.99
1.31,"Premium","I","VS2",62.4,61,6921,6.98,6.9,4.33
0.3,"Very Good","D","SI1",63,58,552,4.24,4.27,2.68
0.7,"Ideal","H","VS2",61.4,56,2733,5.72,5.75,3.52
0.6,"Ideal","H","VS1",61.3,55,2250,5.47,5.49,3.36
1.5,"Good","G","VS1",63.8,58,13596,7.12,7.21,4.57
1.54,"Premium","F","SI1",62.8,58,9926,7.35,7.32,4.61
0.32,"Ideal","E","VS2",61.4,56,900,4.43,4.4,2.71
1.2,"Fair","I","SI1",66.2,59,4368,6.55,6.47,4.31
0.3,"Very Good","D","VS1",62.2,58,742,4.25,4.27,2.65
1.02,"Fair","E","VS2",66.6,57,5350,6.09,6.14,4.07
0.7,"Good","F","SI1",61.6,65,2401,5.71,5.66,3.5
0.3,"Premium","G","VVS1",62.6,58,789,4.27,4.29,2.68
2.19,"Ideal","D","SI2",61.8,57,18693,8.23,8.49,5.17
1.51,"Very Good","E","SI2",58.8,58,9727,7.53,7.61,4.45
0.3,"Very Good","J","VS1",61.2,61,394,4.3,4.33,2.64
1.13,"Ideal","G","VVS2",60.7,57,8192,6.74,6.81,4.11
1.01,"Very Good","G","VS2",62.5,59,6204,6.34,6.37,3.97
0.9,"Very Good","G","VS2",62.7,59,4543,6.09,6.16,3.84
0.96,"Very Good","F","SI1",60.6,62,4560,6.35,6.39,3.86
2.8,"Premium","I","SI2",61.1,59,15030,9.03,8.98,5.5
1.01,"Good","F","VS2",63.1,56,5560,6.28,6.37,3.99
1.01,"Very Good","G","SI1",62.8,56,5049,6.35,6.43,4.01
0.38,"Ideal","D","VS2",62,56,933,4.64,4.68,2.89
0.7,"Premium","D","VVS2",61.5,60,3210,5.71,5.64,3.49
0.33,"Ideal","G","IF",61.5,56,992,4.46,4.48,2.75
1.71,"Premium","J","SI1",61.9,58,7757,7.62,7.56,4.7
1.5,"Premium","H","SI1",59,62,10038,7.39,7.31,4.56
0.5,"Premium","I","VVS1",62.8,61,1556,5.05,4.98,3.15
0.73,"Good","J","VS2",60.8,63,2098,5.67,5.78,3.48
1.01,"Premium","F","VS2",62.4,58,6097,6.43,6.36,3.99
0.71,"Very Good","F","SI2",63.2,57,2397,5.66,5.7,3.59
0.41,"Premium","G","VS2",61.8,58,1061,4.77,4.75,2.94
0.39,"Very Good","G","VVS2",60.7,61,958,4.7,4.73,2.86
0.96,"Premium","J","SI1",60.3,59,3269,6.4,6.36,3.85
1.6,"Ideal","I","SI1",62,55,9376,7.53,7.59,4.69
2.09,"Premium","H","SI2",61.4,60,14581,8.24,8.2,5.05
0.32,"Premium","H","VS1",61.7,58,720,4.41,4.37,2.71
0.46,"Fair","F","SI1",66.3,56,984,4.86,4.79,3.2
0.72,"Ideal","F","SI2",61.6,57,2074,5.75,5.68,3.52
0.36,"Very Good","G","VS1",60.7,57.1,821,4.57,4.65,2.79
0.35,"Premium","E","SI2",61.5,59,630,4.56,4.52,2.79
0.34,"Very Good","H","VS2",63.1,56,689,4.46,4.41,2.8
0.7,"Ideal","E","SI1",61.9,56,3330,5.7,5.73,3.54
1.01,"Good","D","SI1",58.4,62,5700,6.48,6.5,3.79
1.59,"Premium","I","VS2",59.9,60,9474,7.61,7.57,4.55
1.1,"Premium","E","SI2",60.7,58,4829,6.77,6.65,4.07
0.71,"Premium","J","SI2",60.7,59,1609,5.75,5.71,3.48
0.9,"Good","F","VS2",62.4,58,4370,6.08,6.1,3.8
0.52,"Very Good","H","VS2",61.4,55,1389,5.19,5.24,3.2
0.31,"Premium","G","VS2",62.2,59,698,4.35,4.3,2.69
0.35,"Ideal","G","VS1",62.1,56,906,4.56,4.52,2.82
1.13,"Ideal","H","SI1",61.3,57,4556,6.72,6.7,4.11
0.42,"Ideal","G","VS2",61.7,57,847,4.8,4.83,2.97
1.33,"Premium","F","SI2",59.9,58,6668,7.13,7.17,4.28
0.34,"Premium","D","VVS2",60.1,58,1052,4.55,4.53,2.73
1.2,"Very Good","E","VS2",60.6,56,9529,6.85,6.87,4.16
0.8,"Premium","G","SI2",61.4,56,2451,5.99,5.96,3.67
0.7,"Good","F","VS1",64,57,2441,5.62,5.54,3.57
0.43,"Very Good","F","VS1",62.2,61,1056,4.75,4.83,2.98
1.04,"Ideal","F","SI1",62.9,54,5626,6.49,6.46,4.07
1,"Very Good","F","SI1",63.5,56,5122,6.28,6.35,4.01
0.34,"Ideal","H","VVS1",62,54,775,4.46,4.48,2.77
1.29,"Premium","J","VS2",60.5,58,5815,7.07,6.99,4.25
0.3,"Premium","F","VS2",61.8,60,673,4.3,4.27,2.65
0.51,"Very Good","E","SI1",59.4,57,1284,5.2,5.24,3.1
0.9,"Very Good","G","VS1",61.3,61,4515,6.15,6.25,3.8
0.27,"Ideal","G","IF",61.2,57,627,4.17,4.2,2.56
1.53,"Ideal","G","VS1",62.2,56,13994,7.36,7.31,4.56
0.54,"Ideal","D","SI1",60.7,56,1786,5.3,5.27,3.21
0.71,"Good","I","VS2",61.1,60.6,2145,5.71,5.74,3.49
0.5,"Premium","D","VS2",61.4,59,1845,5.15,5.11,3.15
0.47,"Premium","G","SI1",62.7,58,931,4.97,4.99,3.12
0.59,"Premium","D","VS1",61.9,58,2326,5.37,5.32,3.31
2.02,"Very Good","E","SI1",59.8,59,18731,8.11,8.2,4.88
0.27,"Ideal","H","VS1",62.2,56,449,4.12,4.15,2.57
0.3,"Ideal","F","VS1",62.3,54,615,4.31,4.33,2.69
1.53,"Premium","H","SI1",62,60,7608,7.31,7.27,4.55
0.31,"Premium","H","SI1",61,61,558,4.39,4.33,2.66
1.7,"Very Good","G","VVS2",61.5,60,17073,7.59,7.64,4.68
0.51,"Very Good","G","VVS1",62.9,57,1800,5.08,5.12,3.21
0.71,"Premium","G","VS2",59.9,60,2803,5.81,5.77,3.47
0.71,"Premium","D","VS1",61.6,58,3479,5.78,5.72,3.54
1.02,"Good","H","SI1",63.9,55,4476,6.37,6.4,4.08
0.42,"Ideal","E","VVS2",61.3,56,1216,4.81,4.85,2.96
0.5,"Good","E","SI2",63.1,58,1077,5.05,5.09,3.2
0.7,"Very Good","G","VS1",63.2,58,2473,5.61,5.65,3.56
0.27,"Ideal","G","VVS2",62.8,56,641,4.12,4.16,2.6
1.06,"Very Good","I","SI2",58.4,62,3515,6.65,6.7,3.9
0.36,"Ideal","E","VS2",61.7,57,878,4.59,4.55,2.82
0.52,"Ideal","D","SI2",61,56,1158,5.17,5.22,3.17
1.12,"Premium","E","SI2",63,61,4215,6.66,6.61,4.18
1.06,"Very Good","F","IF",60.6,56,9433,6.62,6.69,4.03
1.05,"Ideal","D","SI2",62.1,56,5156,6.48,6.54,4.04
0.74,"Very Good","E","VS2",62.8,58,3323,5.73,5.76,3.61
1.52,"Very Good","D","SI2",60.6,62,9389,7.37,7.42,4.48
0.9,"Good","H","SI1",63.2,61,3398,6.12,6.03,3.84
0.91,"Premium","G","VVS2",61.8,58,5167,6.24,6.16,3.83
0.83,"Ideal","F","SI1",60.7,57,3290,6.02,6.1,3.68
0.31,"Ideal","J","VVS2",60.3,60,476,4.4,4.45,2.67
1.51,"Good","J","SI1",64.1,61,6394,7.16,7.19,4.6
1.01,"Very Good","I","SI2",63.1,54,3818,6.39,6.35,4.02
0.72,"Ideal","G","VS1",61.4,56,3478,5.75,5.79,3.55
0.71,"Fair","I","VS2",61.6,67,1840,5.76,5.61,3.5
0.32,"Ideal","D","VVS1",61.8,56,1140,4.41,4.39,2.72
0.51,"Ideal","G","VS2",62.2,54,1443,5.11,5.14,3.19
0.59,"Ideal","G","IF",59.5,58,2551,5.49,5.57,3.29
1,"Good","F","SI2",56.7,60,3858,6.62,6.58,3.74
0.9,"Ideal","E","SI2",62.1,56,3804,6.25,6.19,3.86
0.41,"Ideal","F","VVS1",61.8,57,1356,4.79,4.75,2.95
0.55,"Premium","E","SI2",61.9,58,1273,5.24,5.2,3.23
0.7,"Ideal","D","SI1",62.5,57,2822,5.62,5.59,3.51
0.39,"Ideal","E","IF",62.5,57,1248,4.7,4.74,2.95
0.41,"Premium","G","VS2",61.4,59,1061,4.79,4.75,2.93
0.32,"Ideal","G","VVS1",61.4,55,842,4.42,4.44,2.72
2.04,"Ideal","I","SI1",62.8,57,14775,8.09,8.02,5.06
0.9,"Ideal","F","SI1",60.7,57,4401,6.21,6.25,3.78
0.95,"Fair","F","SI2",56,60,2815,6.62,6.53,3.68
2.03,"Premium","J","SI1",60.1,58,12492,8.26,8.21,4.95
2.01,"Very Good","I","VS2",59.6,62,15919,8.17,8.25,4.89
1.5,"Good","G","SI2",63.1,57,9116,7.25,7.29,4.59
1.91,"Premium","I","SI1",63,59,13367,7.91,7.87,4.97
0.31,"Very Good","J","VS2",62.3,60,380,4.29,4.34,2.69
1.01,"Premium","F","SI2",60.9,60,3297,6.45,6.42,3.91
0.34,"Ideal","H","VS1",62.2,55,620,4.47,4.49,2.79
0.52,"Premium","D","SI1",60.7,58,1376,5.23,5.18,3.16
0.5,"Ideal","G","VS1",62,55,1624,5.05,5.11,3.15
1.25,"Premium","H","SI1",59.4,62,5320,7.07,7,4.18
1,"Premium","D","VS1",62.7,62,7812,6.23,6.21,3.9
0.56,"Ideal","D","SI1",62.5,56,1723,5.24,5.26,3.28
0.51,"Ideal","G","VS1",61.5,54.9,1708,5.13,5.25,3.17
2.02,"Fair","G","I1",68,55,6346,7.77,7.72,5.27
1.21,"Premium","F","SI2",62.4,60,4310,6.77,6.73,4.21
0.31,"Fair","D","VVS2",54.2,65,997,4.61,4.58,2.49
1,"Good","F","SI2",59.4,64,3858,6.36,6.29,3.76
1.01,"Premium","H","SI2",61.1,60,3054,6.46,6.41,3.93
0.6,"Ideal","F","VVS2",60.9,57,2698,5.45,5.48,3.33
0.92,"Good","J","SI2",59,63,3070,6.3,6.35,3.73
1.21,"Ideal","F","SI1",61.2,59,7349,6.8,6.85,4.18
0.69,"Good","E","VS2",58.7,64,2057,5.73,5.79,3.38
0.29,"Ideal","E","VVS2",61.9,56,815,4.22,4.24,2.62
1,"Premium","G","VS2",61.9,58,6160,6.45,6.41,3.98
0.32,"Ideal","G","VVS1",62.4,55,1080,4.38,4.37,2.73
0.51,"Premium","E","VS2",60.6,60,1614,5.2,5.19,3.15
1,"Premium","E","VS2",60.4,57,6720,6.49,6.46,3.91
2.4,"Premium","J","SI1",59.7,58,15920,8.75,8.71,5.21
0.4,"Premium","D","VS2",61.7,59,982,4.72,4.75,2.92
0.41,"Ideal","F","VS2",62.7,56,863,4.72,4.78,2.98
0.33,"Ideal","G","VVS1",61.7,54,868,4.47,4.48,2.76
0.7,"Ideal","G","VS1",60.6,57,2512,5.7,5.75,3.47
1.59,"Ideal","H","SI1",61.4,55,10284,7.56,7.51,4.63
1.01,"Premium","G","SI2",63,58,4038,6.34,6.29,3.98
0.4,"Very Good","E","SI2",61.4,57,666,4.68,4.74,2.89
1.08,"Ideal","H","SI1",59.7,60,5154,6.71,6.69,4
2.03,"Ideal","I","SI1",62.9,57,15291,8.06,8.02,5.06
1.21,"Very Good","F","VS2",62.9,54,8403,6.78,6.82,4.28
0.76,"Ideal","G","SI2",61.7,55,2553,5.87,5.9,3.63
1.04,"Premium","G","IF",61.3,58,9039,6.52,6.43,3.97
1.01,"Very Good","E","SI1",62,61,5216,6.38,6.42,3.97
0.28,"Premium","E","VVS2",60.1,59,828,4.26,4.22,2.55
1.02,"Good","H","SI2",63.1,59,4207,6.37,6.43,4.04
0.7,"Good","F","SI1",63.8,60,2423,5.63,5.6,3.58
2.1,"Ideal","H","SI2",63.1,55,18462,8.17,8.13,5.14
0.96,"Premium","E","SI2",58.2,58,4462,6.52,6.47,3.78
0.35,"Ideal","D","SI1",62.7,56,827,4.51,4.49,2.82
0.7,"Ideal","F","VS2",62.8,56,2573,5.7,5.67,3.57
0.42,"Very Good","G","SI1",61.7,55,916,4.78,4.81,2.96
1.39,"Very Good","G","VS2",62.6,56,10476,7.08,7.11,4.44
1.1,"Very Good","G","VS1",60.3,62,6951,6.72,6.67,4.04
0.51,"Ideal","D","SI1",62.6,57,1619,5.11,5.08,3.19
1.04,"Ideal","G","SI2",62,57,4277,6.6,6.53,4.07
1.12,"Good","I","VS2",63.8,55,4766,6.57,6.63,4.21
0.51,"Ideal","G","VVS2",61.9,55,1926,5.14,5.17,3.19
1.02,"Very Good","F","VS2",63.3,59,6597,6.4,6.37,4.04
1.5,"Premium","D","SI2",62.6,59,8108,7.2,7.23,4.52
0.43,"Ideal","D","VS1",62.1,55,1264,4.86,4.83,3.01
1.08,"Ideal","G","SI1",61.4,56,4771,6.62,6.6,4.06
0.5,"Ideal","E","VVS2",62.2,54,2889,5.09,5.11,3.17
2.05,"Premium","I","SI2",62,58,9850,8.13,8.08,5.02
2.01,"Good","I","SI1",58.5,62,14998,8.24,8.31,4.84
1.5,"Very Good","H","VS1",63.4,59,10652,7.13,7.2,4.54
0.37,"Very Good","F","SI1",62.5,58,616,4.52,4.57,2.84
0.52,"Ideal","E","VS2",61.5,56,1767,5.17,5.14,3.17
0.31,"Ideal","E","VS1",60.1,55,638,4.42,4.53,2.69
0.3,"Premium","G","VS2",61.6,60,675,4.33,4.28,2.65
0.72,"Fair","G","VS1",66.4,57,2396,5.6,5.51,3.69
0.5,"Ideal","F","SI1",60.1,56,1232,5.19,5.22,3.13
1.18,"Premium","I","SI1",60.5,59,4956,6.9,6.82,4.15
1,"Ideal","H","VVS2",62.9,55,6607,6.34,6.39,4
0.74,"Premium","E","SI2",59,55,2447,6.03,5.94,3.53
0.3,"Very Good","E","VVS2",62.4,57,759,4.28,4.31,2.68
0.36,"Ideal","H","IF",61.3,57,1163,4.59,4.61,2.82
1.4,"Premium","G","SI1",62.5,58,8511,7.12,7.06,4.43
0.52,"Good","D","SI2",63.7,55,1203,5.1,5.11,3.25
0.27,"Very Good","F","VVS2",61.8,56,682,4.19,4.2,2.6
0.7,"Ideal","J","SI2",61.6,57,2047,5.73,5.69,3.52
1.21,"Very Good","J","VS2",63,57,4691,6.73,6.77,4.25
